Handle,Size,Finish,Variant Image URL
intersecting-perspectives-no3,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/intersecting_perspectives_no3_wall_mockup_24x36.png?v=1750000000
intersecting-perspectives-no3,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/intersecting_perspectives_no3_wall_mockup_36x48.png?v=1750000000
intersecting-perspectives-no3,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/intersecting_perspectives_no3_wall_mockup_53x72.png?v=1750000000
intersecting-perspectives-no2,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/intersecting_perspectives_no2_wall_mockup_24x36.png?v=1750000000
intersecting-perspectives-no2,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/intersecting_perspectives_no2_wall_mockup_36x48.png?v=1750000000
intersecting-perspectives-no2,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/intersecting_perspectives_no2_wall_mockup_53x72.png?v=1750000000
untiled-n011,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/untiled_n011_wall_mockup_24x36.png?v=1750000000
untiled-n011,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/untiled_n011_wall_mockup_36x48.png?v=1750000000
untiled-n011,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/untiled_n011_wall_mockup_53x72.png?v=1750000000
deep-echoes,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/chromatic_echos_deep_no1_no_frame_53x72_db98bf74-d666-4c20-9c9c-fa6b0a04baaf.png?v=1713722113
deep-echoes,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/chromatic_echos_deep_no1_canvas_black_frame_24x36_1059d929-1b71-46b5-90fa-92378a2c52c3.png?v=1713722113
deep-echoes,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/chromatic_echos_deep_no1_canvas_no_frame_36x48_7c27050e-b0b1-4f72-8bd7-8d98ed4389b3.png?v=1713722113
space-form-no4,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/space_shape_no5_no_frame_53x72_c9199580-9bf3-4e3c-8236-c0a022a80023.png?v=1713722349
space-form-no4,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/space_shape_no5_no_frame_24x36_db556600-27c8-446c-9ae5-8023b6a484d3.png?v=1713722350
space-form-no4,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/space_shape_no5_no_frame_36x48_4de377ac-81ab-44c6-92e1-fc9732383fa2.png?v=1713722350
vista-echoes,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/chromatic_echos_emerald_no1_canvas_no_frame_24x36_786bf377-6af3-431b-b37e-7cf98e807bcb.png?v=1713064048
vista-echoes,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/ChromaticEchos_emerald_no1_canvas_black_frame_36x48_c1817d3f-aead-4592-8f0e-157a0e098973.png?v=1713064048
