Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
crimson-shade,Crimson Shade,Size,24x36,Print Type,Canvas Roll,,,CRIMSON-SHADE-CANVAS-ROLL-24X36,,,170 Avenue F,,,,150,150
crimson-shade,Crimson Shade,Size,24x36,Print Type,Canvas Roll,,,CRIMSON-SHADE-CANVAS-ROLL-24X36,,,Printful,,,,not stocked,not stocked
crimson-shade,Crimson Shade,Size,36x48,Print Type,Canvas Roll,,,CRIMSON-SHADE-CANVAS-ROLL-36X48,,,170 Avenue F,,,,105,105
crimson-shade,Crimson Shade,Size,36x48,Print Type,Canvas Roll,,,CRIMSON-SHADE-CANVAS-ROLL-36X48,,,Printful,,,,not stocked,not stocked
crimson-shade,Crimson Shade,Size,53x72,Print Type,Canvas Roll,,,CRIMSON-SHADE-CANVAS-ROLL-53X72,,,170 Avenue F,,,,45,45
crimson-shade,Crimson Shade,Size,53x72,Print Type,Canvas Roll,,,CRIMSON-SHADE-CANVAS-ROLL-53X72,,,Printful,,,,not stocked,not stocked
crimson-shade,Crimson Shade,Size,24x36,Print Type,Gallery Wrapped Canvas,,,CRIMSON-SHADE-GALLERY-WRAPPED-CANVAS-24X36,,,170 Avenue F,,,,150,150
crimson-shade,Crimson Shade,Size,24x36,Print Type,Gallery Wrapped Canvas,,,CRIMSON-SHADE-GALLERY-WRAPPED-CANVAS-24X36,,,Printful,,,,not stocked,not stocked
crimson-shade,Crimson Shade,Size,36x48,Print Type,Gallery Wrapped Canvas,,,CRIMSON-SHADE-GALLERY-WRAPPED-CANVAS-36X48,,,170 Avenue F,,,,105,105
crimson-shade,Crimson Shade,Size,36x48,Print Type,Gallery Wrapped Canvas,,,CRIMSON-SHADE-GALLERY-WRAPPED-CANVAS-36X48,,,Printful,,,,not stocked,not stocked
crimson-shade,Crimson Shade,Size,53x72,Print Type,Gallery Wrapped Canvas,,,CRIMSON-SHADE-GALLERY-WRAPPED-CANVAS-53X72,,,170 Avenue F,,,,45,45
crimson-shade,Crimson Shade,Size,53x72,Print Type,Gallery Wrapped Canvas,,,CRIMSON-SHADE-GALLERY-WRAPPED-CANVAS-53X72,,,Printful,,,,not stocked,not stocked
crystalline-blue,Crystalline Blue,Size,24x36,Print Type,Canvas Roll,,,CRYSTALLINE-BLUE-CANVAS-ROLL-24X36,,,170 Avenue F,,,,150,150
crystalline-blue,Crystalline Blue,Size,24x36,Print Type,Canvas Roll,,,CRYSTALLINE-BLUE-CANVAS-ROLL-24X36,,,Printful,,,,not stocked,not stocked
crystalline-blue,Crystalline Blue,Size,36x48,Print Type,Canvas Roll,,,CRYSTALLINE-BLUE-CANVAS-ROLL-36X48,,,170 Avenue F,,,,105,105
crystalline-blue,Crystalline Blue,Size,36x48,Print Type,Canvas Roll,,,CRYSTALLINE-BLUE-CANVAS-ROLL-36X48,,,Printful,,,,not stocked,not stocked
crystalline-blue,Crystalline Blue,Size,53x72,Print Type,Canvas Roll,,,CRYSTALLINE-BLUE-CANVAS-ROLL-53X72,,,170 Avenue F,,,,45,45
crystalline-blue,Crystalline Blue,Size,53x72,Print Type,Canvas Roll,,,CRYSTALLINE-BLUE-CANVAS-ROLL-53X72,,,Printful,,,,not stocked,not stocked
crystalline-blue,Crystalline Blue,Size,24x36,Print Type,Gallery Wrapped Canvas,,,CRYSTALLINE-BLUE-GALLERY-WRAPPED-CANVAS-24X36,,,170 Avenue F,,,,150,150
crystalline-blue,Crystalline Blue,Size,24x36,Print Type,Gallery Wrapped Canvas,,,CRYSTALLINE-BLUE-GALLERY-WRAPPED-CANVAS-24X36,,,Printful,,,,not stocked,not stocked
crystalline-blue,Crystalline Blue,Size,36x48,Print Type,Gallery Wrapped Canvas,,,CRYSTALLINE-BLUE-GALLERY-WRAPPED-CANVAS-36X48,,,170 Avenue F,,,,105,105
crystalline-blue,Crystalline Blue,Size,36x48,Print Type,Gallery Wrapped Canvas,,,CRYSTALLINE-BLUE-GALLERY-WRAPPED-CANVAS-36X48,,,Printful,,,,not stocked,not stocked
