Rank,County or Equivalent,State,Per Capita Income,
1,New York County,New York,$83,8
2,Marin County,California,$78,995
3,Arlington County,Virginia,$77,535
4,San Francisco County,California,$77,267
5,Falls Church,Virginia,$76,354
6,San Mateo County,California,$69,919
7,Alexandria,Virginia,$68,640
8,Gilpin County,Colorado,$66,627
9,Teton County,Wyoming,$66,296
10,Santa Clara County,California,$65,52
11,Los Alamos County,New Mexico,$64,521
12,Washington,District of Columbia,$63,793
13,Fairfax County,Virginia,$61,957
14,Morris County,New Jersey,$61,915
15,Westchester County,New York,$61,830
16,Somerset County,New Jersey,$61,805
17,Hunterdon County,New Jersey,$61,328
18,Loudoun County,Virginia,$61,45
19,Summit County,Utah,$60,768
20,Norfolk County,Massachusetts,$60,406
21,King County,Washington,$59,843
22,Montgomery County,Maryland,$59,384
23,Howard County,Maryland,$58,560
24,Middlesex County,Massachusetts,$58,399
25,Monmouth County,New Jersey,$57,836
26,Douglas County,Colorado,$57,481
27,Fairfax,Virginia,$57,91
28,Williamson County,Tennessee,$56,545
29,Nassau County,New York,$55,763
30,Bergen County,New Jersey,$55,710
31,Chester County,Pennsylvania,$55,702
32,Broomfield County,Colorado,$55,176
33,Alameda County,California,$53,815
34,Contra Costa County,California,$53,656
35,Loving County,Texas,$53,358
36,Montgomery County,Pennsylvania,$53,343
37,San Juan County,Washington,$52,881
38,Fulton County,Georgia,$52,842
39,Hamilton County,Indiana,$52,437
40,Boulder County,Colorado,$52,401
41,Delaware County,Ohio,$52,397
42,Nantucket County,Massachusetts,$52,324
43,Newport County,Rhode Island,$52,30
44,Bristol County,Rhode Island,$51,917
45,Johnson County,Kansas,$51,663
46,Rockingham County,New Hampshire,$51,627
47,Dukes County,Massachusetts,$51,354
48,Collier County,Florida,$51,296
49,Talbot County,Maryland,$51,234
50,Anne Arundel County,Maryland,$51,113
51,Ozaukee County,Wisconsin,$51,32
52,Waukesha County,Wisconsin,$50,837
53,Calvert County,Maryland,$50,496
54,Carver County,Minnesota,$50,492
55,Hennepin County,Minnesota,$50,478
56,DuPage County,Illinois,$50,344
57,Bucks County,Pennsylvania,$50,315
58,Elbert County,Colorado,$50,147
59,Barnstable County,Massachusetts,$49,973
60,Albemarle County,Virginia,$49,942
61,Putnam County,New York,$49,808
62,Kalawao County,Hawaii,$49,700
63,Boone County,Indiana,$49,666
64,Napa County,California,$49,641
65,Forsyth County,Georgia,$49,404
66,Fauquier County,Virginia,$49,400
67,Lake County,Illinois,$49,404
68,Suffolk County,New York,$49,404
69,Travis County,Texas,$49,191
70,Queen Anne's County,Maryland,$49,178
71,Oakland County,Michigan,$49,12
72,Eagle County,Colorado,$49,10
73,Plymouth County,Massachusetts,$48,785
74,Placer County,California,$48,580
75,Collin County,Texas,$48,438
76,Suffolk County,Massachusetts,$47,916
77,Rockwall County,Texas,$47,802
78,Santa Cruz County,California,$47,619
79,North Slope Borough,Alaska,$47,585
80,Sonoma County,California,$47,580
81,Dallas County,Iowa,$47,488
82,Dunn County,North Dakota,$47,472
83,Scott County,Minnesota,$47,334
84,James City County,Virginia,$47,223
85,Burlington County,New Jersey,$47,65
86,Oldham County,Kentucky,$46,833
87,Frederick County,Maryland,$46,615
88,Fayette County,Georgia,$46,522
89,Essex County,Massachusetts,$46,263
90,Orange County,California,$46,99
91,Charleston County,South Carolina,$46,66
92,Washington County,Rhode Island,$45,956
93,Carroll County,Maryland,$45,800
94,Denton County,Texas,$45,782
95,Cumberland County,Maine,$45,704
96,Cape May County,New Jersey,$45,689
97,Orange County,North Carolina,$45,681
98,Stafford County,Virginia,$45,618
99,Juneau Borough,Alaska,$45,607
100,Washtenaw County,Michigan,$45,500
