Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Frame style (product.metafields.shopify.frame-style),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
crimson-shade,Crimson Shade,"<p>Crimson Shade by the artist from the Shape Emergence collection manifests a dramatic interplay of geometric shapes in rich crimson tones, contrasted with touches of deep blues and purples, segmented by sharp lines and creating a pattern reminiscent of a complex kaleidoscope. The artwork, printed with high-quality ink pigment on durable cotton canvas, exudes a robust intensity and depth that captivates and engages the viewer. The collection is a striking visual narrative composed of geometric forms and a bold color palette. This ink pigment print on cotton canvas features a dynamic arrangement of shapes that merge and diverge to create a sense of movement and depth. The artwork is dominated by shades of crimson, ranging from deep maroon to bright red, which are contrasted with hints of purple, navy, and white. This contrast not only accentuates the individual forms but also highlights the overall symmetry and balance within the piece.</p>",VividWalls,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Artwork,Shape Emergence,true,Size,53x72,,Print Type,Gallery Wrapped Stretched Canvas,,,,,CRIMSON-SHADE-GALLERY-WRAPPED-CANVAS-53X72,0.0,shopify,deny,manual,550.92,0.00,true,false,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/textured_spetrum_red_no1_no_frame_53x72_53f61c56-c76b-486c-b6cc-b23258873da8.png?v=1749669603,1,"crimson-shade Posters, Prints, & Visual Artwork 36x48 Gallery Wrapped Stretched Canvas",false,Crimson Shade 24x36 Gallery Wrapped Canvas,"Crimson Shadebythe artistfrom the Shape Emergence collection manifests a dramatic interplay of geometric shapes in rich crimson tones, contrasted with touches of deep blues and purples, segmented by sharp lines and creating a pattern reminiscent of a complex kaleidoscope. The artwork, printed with high-quality ink pigment on durable cotton canvas, exudes a robust intensity and depth that captivates and engages the viewer. The collection is a striking visual narrative composed of geometric forms and a bold color palette. This ink pigment print on cotton canvas features a dynamic arrangement of shapes that merge and diverge to create a sense of movement and depth. The artwork is dominated by shades of crimson, ranging from deep maroon to bright red, which are contrasted with hints of purple, navy, and white. This contrast not only accentuates the individual forms but also highlights the overall symmetry and balance within the piece.","Posters, Prints, & Visual Artwork",Unisex,25 - 62,,New,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/textured_spetrum_red_no1_no_frame_53x72_53f61c56-c76b-486c-b6cc-b23258873da8.png?v=1749669603,lb,,,active
crimson-shade,,,,,,,,,53x72,,,Canvas Roll,,,,,CRIMSON-SHADE-CANVAS-ROLL-53X72,0.0,shopify,deny,manual,413.39,0.00,true,false,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/textured_spectrum_red_no1_no_frame_36x48_a4e91481-b793-4af9-9972-ff727f2a8259.png?v=1749669603,2,"crimson-shade Posters, Prints, & Visual Artwork 53x72 Canvas Roll",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/textured_spetrum_red_no1_no_frame_53x72_53f61c56-c76b-486c-b6cc-b23258873da8.png?v=1749669603,lb,,,
crimson-shade,,,,,,,,,36x48,,,Gallery Wrapped Stretched Canvas,,,,,CRIMSON-SHADE-GALLERY-WRAPPED-CANVAS-36X48,0.0,shopify,deny,manual,315.94,0.00,true,false,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/textured_spectrum_red_no1_black_frame_24x36_ec561200-166a-4604-87f9-4eceb126664a.png?v=1749918356,3,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/textured_spectrum_red_no1_no_frame_36x48_a4e91481-b793-4af9-9972-ff727f2a8259.png?v=1749669603,lb,,,
crimson-shade,,,,,,,,,36x48,,,Canvas Roll,,,,,CRIMSON-SHADE-CANVAS-ROLL-36X48,0.0,shopify,deny,manual,237.18,0.00,true,false,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/HomeSceneLivingRoom_Artworks-Crimson-Shade-01.png?v=1750853487,4,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/textured_spectrum_red_no1_no_frame_36x48_a4e91481-b793-4af9-9972-ff727f2a8259.png?v=1749669603,lb,,,
crimson-shade,,,,,,,,,24x36,,,Gallery Wrapped Stretched Canvas,,,,,CRIMSON-SHADE-GALLERY-WRAPPED-CANVAS-24X36,0.0,shopify,deny,manual,204.00,0.00,true,false,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/crimson_shade.png?v=1750853487,5,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/textured_spectrum_red_no1_black_frame_24x36_ec561200-166a-4604-87f9-4eceb126664a.png?v=1749918356,lb,,,
crimson-shade,,,,,,,,,24x36,,,Canvas Roll,,,,,CRIMSON-SHADE-CANVAS-ROLL-24X36,0.0,shopify,deny,manual,153.00,0.00,true,false,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/Rolled-Canvas-Mockup-Crimson_Shade-01b.png?v=1750853487,6,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/textured_spectrum_red_no1_black_frame_24x36_ec561200-166a-4604-87f9-4eceb126664a.png?v=1749918356,lb,,,
crimson-shade,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/Rolled-Canvas-Mockup-Crimson_Shade-01a.png?v=1750853487,7,"",,,,,,,,,,,,,,,,,,,,,,,
dark-kimono,Dark Kimono,"<p>""Dark Kimono"" stands as a masterful convergence of traditional Japanese aesthetics and contemporary geometric abstraction, rendered with exceptional precision in the artist's signature digital medium. This limited edition piece from the acclaimed Geometric Symmetry collection commands attention through its sophisticated interplay of royal blue, vibrant red, and pristine white against a profound black void. The composition's vertical arrangement of precise geometric forms creates a compelling modernist interpretation of ceremonial dress, where traditional textile folds are reimagined through a distinctly minimalist lens. The artist's meticulous attention to spatial relationships and color harmony achieves a delicate balance between cultural reverence and contemporary design language. A subtle granular texture imbues the surface with an almost ethereal quality, suggesting the luxurious shimmer of silk while maintaining its contemporary character.</p>",VividWalls,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Artwork,Geometric Symmetry,true,Size,53x72,,Print Type,Gallery Wrapped Stretched Canvas,,,,,DARK-KIMONO-GALLERY-WRAPPED-CANVAS-53X72,0.0,shopify,deny,manual,550.92,0.00,true,false,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/dark_kimono_no3_canvas_no_frame_53x72_9d270d7d-44e1-4f0a-8fc9-02eb1077ae26.png?v=1749669625,1,"dark-kimono Posters, Prints, & Visual Artwork 36x48 Gallery Wrapped Stretched Canvas",false,Dark Kimono 24x36 Gallery Wrapped Canvas,"""Dark Kimono"" stands as a masterful convergence of traditional Japanese aesthetics and contemporary geometric abstraction, rendered with exceptional precision in the artist's signature digital medium. This limited edition piece from the acclaimed Geometric Symmetry collection commands attention through its sophisticated interplay of royal blue, vibrant red, and pristine white against a profound black void. The composition's vertical arrangement of precise geometric forms creates a compelling modernist interpretation of ceremonial dress, where traditional textile folds are reimagined through a distinctly minimalist lens. The artist's meticulous attention to spatial relationships and color harmony achieves a delicate balance between cultural reverence and contemporary design language. A subtle granular texture imbues the surface with an almost ethereal quality, suggesting the luxurious shimmer of silk while maintaining its contemporary character.","Posters, Prints, & Visual Artwork",Unisex,25 - 62,,New,,,,,,,,black; red; purple,unframed; gallery-wrapped; canvas,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/dark_kimono_no3_canvas_no_frame_53x72_9d270d7d-44e1-4f0a-8fc9-02eb1077ae26.png?v=1749669625,lb,,,active
dark-kimono,,,,,,,,,53x72,,,Canvas Roll,,,,,DARK-KIMONO-CANVAS-ROLL-53X72,0.0,shopify,deny,manual,413.39,0.00,true,false,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/dark_kimono_no3_canvas_no_frame_36x48_d868c3f6-c2fe-4410-9d9b-bbfb5fa9d488.png?v=1749669626,2,"dark-kimono Posters, Prints, & Visual Artwork 53x72 Canvas Roll",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/dark_kimono_no3_canvas_no_frame_53x72_9d270d7d-44e1-4f0a-8fc9-02eb1077ae26.png?v=1749669625,lb,,,
dark-kimono,,,,,,,,,36x48,,,Gallery Wrapped Stretched Canvas,,,,,DARK-KIMONO-GALLERY-WRAPPED-CANVAS-36X48,0.0,shopify,deny,manual,315.94,0.00,true,false,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/dark_kimono_no3_canvas_no_frame_24x36_eeb1508e-63da-4d49-b375-f6ca9dca0019.png?v=1712267358,3,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/dark_kimono_no3_canvas_no_frame_36x48_d868c3f6-c2fe-4410-9d9b-bbfb5fa9d488.png?v=1749669626,lb,,,
