Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Frame style (product.metafields.shopify.frame-style),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
intersecting-perspectives-no3,Intersecting Perspectives No3,"<p>Intersecting Perspectives No3 from the Geometric Intersect collection showcases a sophisticated geometric abstract composition featuring intersecting lines and perspective shifts that create a complex visual narrative. This artwork demonstrates how linear elements can intersect to generate new spatial relationships and dimensional illusions that challenge conventional perspective. The carefully orchestrated intersections create points of convergence and divergence that guide the viewer's eye through a maze of geometric relationships, each offering a different viewpoint on the same fundamental structure. The interplay between foreground and background elements generates depth and movement, while the strategic use of color helps differentiate between various perspective planes.</p>",VividWalls,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Artwork,Intersecting Perspectives,TRUE,Size,24x36,,Print Type,Gallery Wrapped Stretched Canvas,,,,,INTERSECTING-PERSPECTIVES-NO3-GALLERY-WRAPPED-CANVAS-24X36,0,shopify,deny,manual,612,0,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vividwalls.co_perspective_collection_intersecting_perspectives_no8_artwork.png?v=1749669568,1,"untiled-n011 Posters, Prints, & Visual Artwork 24x36 Gallery Wrapped Stretched Canvas",FALSE,Intersecting Perspectives No3 24x36 Gallery Wrapped Canvas,"Intersecting Perspectives No3from the Geometric Intersect collection showcases a sophisticated geometric abstract composition featuring intersecting lines and perspective shifts that create a complex visual narrative. This artwork demonstrates how linear elements can intersect to generate new spatial relationships and dimensional illusions that challenge conventional perspective. The carefully orchestrated intersections create points of convergence and divergence that guide the viewer's eye through a maze of geometric relationships, each offering a different viewpoint on the same fundamental structure. The interplay between foreground and background elements generates depth and movement, while the strategic use of color helps differentiate between various perspective planes.","Posters, Prints, & Visual Artwork",Unisex,25 - 62,,New,,,,,,,,white; black,,,,lb,,,active
intersecting-perspectives-no3,,,,,,,,,24x36,,,Canvas Roll,,,,,INTERSECTING-PERSPECTIVES-NO3-CANVAS-ROLL-24X36,0,shopify,deny,manual,344.25,0,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid-geometric_intersection-no9b-remix.png?v=1749669568,2,"untiled-n011 Posters, Prints, & Visual Artwork 24x36 Canvas Roll",,,,,,,,,,,,,,,,,,,,lb,,,
intersecting-perspectives-no3,,,,,,,,,36x48,,,Gallery Wrapped Stretched Canvas,,,,,INTERSECTING-PERSPECTIVES-NO3-GALLERY-WRAPPED-CANVAS-36X48,0,shopify,deny,manual,943.5,0,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vividwalls.co_perspective_collection_intersecting_perspectives_no8_artwork_47047437-37ab-44a1-bd59-2af0a72c49c1.png?v=1749669564,3,"intersecting-perspectives-no3 Posters, Prints, & Visual Artwork 36x48 Gallery Wrapped Stretched Canvas",,,,,,,,,,,,,,,,,,,,lb,,,
intersecting-perspectives-no3,,,,,,,,,36x48,,,Canvas Roll,,,,,INTERSECTING-PERSPECTIVES-NO3-CANVAS-ROLL-36X48,0,shopify,deny,manual,535.5,0,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vividwalls.co_perspective_collection_intersecting_perspectives_no8_artwork_7be83b42-d6e5-4a3f-8c90-093ea4c2117d.png?v=1749669564,4,"intersecting-perspectives-no3 Posters, Prints, & Visual Artwork 53x72 Gallery Wrapped Stretched Canvas",,,,,,,,,,,,,,,,,,,,lb,,,
intersecting-perspectives-no3,,,,,,,,,53x72,,,Gallery Wrapped Stretched Canvas,,,,,INTERSECTING-PERSPECTIVES-NO3-GALLERY-WRAPPED-CANVAS-53X72,0,shopify,deny,manual,1644.75,0,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
intersecting-perspectives-no3,,,,,,,,,53x72,,,Canvas Roll,,,,,INTERSECTING-PERSPECTIVES-NO3-CANVAS-ROLL-53X72,0,shopify,deny,manual,927.56,0,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
intersecting-perspectives-no2,Intersecting Perspectives No2,"<p>Intersecting Perspectives No2 from the Geometric Intersect collection presents a bold geometric composition featuring dynamic intersecting forms that create compelling visual dialogues between different dimensional perspectives. This artwork explores the fascinating interplay that occurs when geometric shapes meet, overlap, and influence each other's visual presence. The intersecting elements generate new forms and negative spaces that weren't present in the individual components, demonstrating how geometric interaction can create emergent complexity. The composition employs strategic color placement and angular relationships to guide the viewer's eye through multiple visual pathways, each offering a different perspective on the same geometric relationships.</p>",VividWalls,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Artwork,Intersecting Perspectives,FALSE,Size,24x36,,Print Type,Gallery Wrapped Stretched Canvas,,,,,INTERSECTING-PERSPECTIVES-NO2-GALLERY-WRAPPED-CANVAS-24X36,0,shopify,deny,manual,612,0,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid-geometric_intersection-no9b-remix-4.png?v=1749669566,1,"intersecting-perspectives-no2 Posters, Prints, & Visual Artwork 24x36 Gallery Wrapped Stretched Canvas",FALSE,Intersecting Perspectives No2 24x36 Gallery Wrapped Canvas,"Intersecting Perspectives No2from the Geometric Intersect collection presents a bold geometric composition featuring dynamic intersecting forms that create compelling visual dialogues between different dimensional perspectives. This artwork explores the fascinating interplay that occurs when geometric shapes meet, overlap, and influence each other's visual presence. The intersecting elements generate new forms and negative spaces that weren't present in the individual components, demonstrating how geometric interaction can create emergent complexity. The composition employs strategic color placement and angular relationships to guide the viewer's eye through multiple visual pathways, each offering a different perspective on the same geometric relationships.","Posters, Prints, & Visual Artwork",Unisex,25 - 62,,New,,,,,,,,white; black,,,,lb,,,draft
intersecting-perspectives-no2,,,,,,,,,24x36,,,Canvas Roll,,,,,INTERSECTING-PERSPECTIVES-NO2-CANVAS-ROLL-24X36,0,shopify,deny,manual,344.25,0,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid-geometric_intersection-no9b-remix-4_cab94ec3-20b5-40df-a1dd-ccb0bee354e9.png?v=1749669566,2,"intersecting-perspectives-no2 Posters, Prints, & Visual Artwork 24x36 Canvas Roll",,,,,,,,,,,,,,,,,,,,lb,,,
intersecting-perspectives-no2,,,,,,,,,36x48,,,Gallery Wrapped Stretched Canvas,,,,,INTERSECTING-PERSPECTIVES-NO2-GALLERY-WRAPPED-CANVAS-36X48,0,shopify,deny,manual,943.5,0,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid-geometric_intersection-no9b-remix-4_2b98eff5-4f06-471c-a479-7fe4b48db87e.png?v=1749669566,3,"intersecting-perspectives-no2 Posters, Prints, & Visual Artwork 53x72 Gallery Wrapped Stretched Canvas",,,,,,,,,,,,,,,,,,,,lb,,,
intersecting-perspectives-no2,,,,,,,,,36x48,,,Canvas Roll,,,,,INTERSECTING-PERSPECTIVES-NO2-CANVAS-ROLL-36X48,0,shopify,deny,manual,535.5,0,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
